frame_diff,frame_number,side,Rally,,
1,2164,left,,,
1,2165,left,,,
1,2166,left,,,
5,2172,left,,,
1,2173,left,,,
1,2175,right,,,
1,2176,right,,,
1,2177,right,,,
1,2178,right,,,
1,2179,right,,,
1,2180,right,,,
1,2181,right,,,
1,2182,right,,,
1,2183,right,,,
1,2184,right,,,
2,2186,right,,,
1,2187,right,,,
1,2188,right,,,
1,2189,right,,,
1,2190,right,,,
1,2191,right,,,
1,2192,left,,,
2,2194,left,,,
1,2195,left,,,
1,2196,left,,,
1,2197,left,,,
1,2198,left,,,
2,2200,left,,,
2,2202,left,,,
1,2203,left,,,
1,2204,left,,,
1,2206,right,,,
1,2207,right,,,
1,2208,right,,,
1,2209,right,,,
1,2210,right,,,
1,2211,right,,,
1,2212,right,,,
2,2214,right,,,
1,2215,right,,,
1,2216,right,,,
2,2218,right,,,
2,2220,left,,,
1,2221,left,,,
1,2222,left,,,
1,2223,left,,,
1,2224,left,,,
1,2225,left,,,
1,2226,left,,,
3,2229,left,,,
1,2230,left,,,
1,2231,left,,,
1,2232,left,,,
1,2233,left,,,
1,2235,right,,,
1,2236,right,,,
1,2237,right,,,
1,2238,right,,,
1,2239,right,,,
1,2240,right,,,
1,2241,right,,,
3,2244,right,,,
1,2245,right,,,
2,2247,right,,,
1,2248,left,,,
1,2249,left,,,
1,2250,left,,,
1,2251,left,,,
1,2252,left,,,
1,2253,left,,,
1,2254,left,,,
1,2255,left,,,
2,2257,left,,,
2,2259,left,,,
1,2260,left,,,
1,2261,left,,,
1,2262,left,,,
5,2615,left,,,
1,2616,left,,,
1,2617,left,,,
1,2618,left,,,
1,2619,left,,,
1,2620,left,,,
1,2621,left,,,
1,2622,left,,,
1,2624,right,,,
1,2625,right,,,
1,2626,right,,,
1,2627,right,,,
1,2628,right,,,
1,2629,right,,,
1,2630,right,,,
1,2631,right,,,
1,2632,right,,,
1,2633,right,,,
2,2635,right,,,
1,2636,right,,,
1,2637,right,,,
1,2638,right,,,
1,2639,left,,,
1,2640,left,,,
1,2641,left,,,
1,2642,left,,,
1,2643,left,,,
1,2644,left,,,
3,2648,left,,,
1,2649,left,,,
1,2650,left,,,
1,2652,right,,,
1,2653,right,,,
1,2654,right,,,
1,2655,right,,,
1,2656,right,,,
1,2657,right,,,
1,2658,right,,,
2,2660,right,,,
1,2661,right,,,
1,2662,right,,,
1,2663,right,,,
1,2664,left,,,
1,2665,left,,,
1,2666,left,,,
1,2667,left,,,
1,2668,left,,,
1,2669,left,,,
1,2670,left,,,
1,2671,left,,,
4,2675,left,,,
1,2676,left,,,
1,2677,left,,,
2,2680,right,,,
